phrase,test_key,lang
har tarminfektion ofta,gut_microbiome_test_xl,sv
har tarmkramper,gut_microbiome_test_xl,sv
har tarmsmärta,gut_microbiome_test_xl,sv
har trött efter måltid,gut_microbiome_test_xl,sv
har ulcerös kolit symtom,gut_microbiome_test_xl,sv
har uppblåst mage,gut_microbiome_test_xl,sv
har uppspänd buk,gut_microbiome_test_xl,sv
har uppstötningar,gut_microbiome_test_xl,sv
har vattnig avföring,gut_microbiome_test_xl,sv
har viktnedgång,gut_microbiome_test_xl,sv
har viktproblem,gut_microbiome_test_xl,sv
har öm mage,gut_microbiome_test_xl,sv
hemska gaser,gut_microbiome_test_xl,sv
hjärndimma,gut_microbiome_test_xl,sv
hudutslag kopplat till mage,gut_microbiome_test_xl,sv
hypoklorhydri,gut_microbiome_test_xl,sv
hård mage,gut_microbiome_test_xl,sv
illamående,gut_microbiome_test_xl,sv
inflammation i tarmen,gut_microbiome_test_xl,sv
intestinal gas,gut_microbiome_test_xl,sv
irriterad tarm,gut_microbiome_test_xl,sv
jag har Crohns sjukdom symtom,gut_microbiome_test_xl,sv
jag har IBD,gut_microbiome_test_xl,sv
jag har IBS,gut_microbiome_test_xl,sv
jag har SIBO,gut_microbiome_test_xl,sv
jag har bajsar ofta,gut_microbiome_test_xl,sv
jag har bajsar sällan,gut_microbiome_test_xl,sv
jag har bakteriell överväxt,gut_microbiome_test_xl,sv
jag har bloating,gut_microbiome_test_xl,sv
jag har blod i avföringen,gut_microbiome_test_xl,sv
jag har brain fog,gut_microbiome_test_xl,sv
jag har brännande mage,gut_microbiome_test_xl,sv
jag har buksmärta,gut_microbiome_test_xl,sv
jag har buksmärta höger sida,gut_microbiome_test_xl,sv
jag har buksmärta vänster sida,gut_microbiome_test_xl,sv
jag har bukspänning,gut_microbiome_test_xl,sv
jag har candida,gut_microbiome_test_xl,sv
jag har diarré,gut_microbiome_test_xl,sv
jag har digestive issues,gut_microbiome_test_xl,sv
jag har dysbios,gut_microbiome_test_xl,sv
jag har dålig matsmältning,gut_microbiome_test_xl,sv
jag har dålig tarmflora,gut_microbiome_test_xl,sv
jag har eksem kopplat till kost,gut_microbiome_test_xl,sv
jag har fekal urgens,gut_microbiome_test_xl,sv
jag har fermentering i tarmen,gut_microbiome_test_xl,sv
jag har flatulens,gut_microbiome_test_xl,sv
jag har förstoppning,gut_microbiome_test_xl,sv
jag har förändrad avföring,gut_microbiome_test_xl,sv
jag har gallbesvär,gut_microbiome_test_xl,sv
jag har gallstenssmärta,gut_microbiome_test_xl,sv
jag har gasbesvär,gut_microbiome_test_xl,sv
jag har gaser i magen,gut_microbiome_test_xl,sv
jag har gaser som luktar illa,gut_microbiome_test_xl,sv
jag har gasig,gut_microbiome_test_xl,sv
jag har gasproblem,gut_microbiome_test_xl,sv
jag har gastrit,gut_microbiome_test_xl,sv
jag har gastrit smärta,gut_microbiome_test_xl,sv
jag har halsbränna,gut_microbiome_test_xl,sv
jag har hemska gaser,gut_microbiome_test_xl,sv
jag har hjärndimma,gut_microbiome_test_xl,sv
jag har hudutslag kopplat till mage,gut_microbiome_test_xl,sv
jag har hypoklorhydri,gut_microbiome_test_xl,sv
jag har hård mage,gut_microbiome_test_xl,sv
jag har illamående,gut_microbiome_test_xl,sv
jag har inflammation i tarmen,gut_microbiome_test_xl,sv
jag har intestinal gas,gut_microbiome_test_xl,sv
jag har irriterad tarm,gut_microbiome_test_xl,sv
jag har kolik,gut_microbiome_test_xl,sv
jag har kolit,gut_microbiome_test_xl,sv
jag har kramp i magen,gut_microbiome_test_xl,sv
jag har kroniska magsmärtor,gut_microbiome_test_xl,sv
jag har kroniska tarmproblem,gut_microbiome_test_xl,sv
jag har kräkningar,gut_microbiome_test_xl,sv
jag har kurrande mage,gut_microbiome_test_xl,sv
jag har känslig tarm,gut_microbiome_test_xl,sv
jag har leaky gut,gut_microbiome_test_xl,sv
jag har läckande tarm,gut_microbiome_test_xl,sv
jag har låg magsyra,gut_microbiome_test_xl,sv
jag har lös mage,gut_microbiome_test_xl,sv
jag har mage ballongkänsla,gut_microbiome_test_xl,sv
jag har maginfluensa ofta,gut_microbiome_test_xl,sv
jag har magkatarr,gut_microbiome_test_xl,sv
jag har magknip,gut_microbiome_test_xl,sv
jag har magkramper,gut_microbiome_test_xl,sv
jag har magont,gut_microbiome_test_xl,sv
jag har magsmärtor,gut_microbiome_test_xl,sv
jag har magsyra,gut_microbiome_test_xl,sv
jag har magsår,gut_microbiome_test_xl,sv
jag har magsårsmärta,gut_microbiome_test_xl,sv
jag har obalans i tarmfloran,gut_microbiome_test_xl,sv
jag har oförklarlig viktuppgång,gut_microbiome_test_xl,sv
jag har ont i magen,gut_microbiome_test_xl,sv
jag har ont i magen barn,gut_microbiome_test_xl,sv
jag har orolig mage,gut_microbiome_test_xl,sv
jag har otydlig magvärk,gut_microbiome_test_xl,sv
jag har parasit i mage,gut_microbiome_test_xl,sv
jag har rapar mycket,gut_microbiome_test_xl,sv
jag har rapningar,gut_microbiome_test_xl,sv
jag har reflux,gut_microbiome_test_xl,sv
jag har slemmig avföring,gut_microbiome_test_xl,sv
jag har slemmigt bajs,gut_microbiome_test_xl,sv
jag har smärta när jag äter,gut_microbiome_test_xl,sv
jag har smärta under naveln,gut_microbiome_test_xl,sv
jag har smärta över naveln,gut_microbiome_test_xl,sv
jag har sprängande buk,gut_microbiome_test_xl,sv
jag har stomi problem,gut_microbiome_test_xl,sv
jag har stressmage,gut_microbiome_test_xl,sv
jag har sur mage,gut_microbiome_test_xl,sv
jag har sura uppstötningar,gut_microbiome_test_xl,sv
jag har svamp i tarmen,gut_microbiome_test_xl,sv
jag har svullen mage,gut_microbiome_test_xl,sv
jag har svår matsmältning,gut_microbiome_test_xl,sv
jag har svårt att gå på toaletten,gut_microbiome_test_xl,sv
jag har tarmbesvär,gut_microbiome_test_xl,sv
jag har tarminfektion ofta,gut_microbiome_test_xl,sv
jag har tarmkramper,gut_microbiome_test_xl,sv
jag har tarmsmärta,gut_microbiome_test_xl,sv
jag har trött efter måltid,gut_microbiome_test_xl,sv
jag har ulcerös kolit symtom,gut_microbiome_test_xl,sv
jag har uppblåst mage,gut_microbiome_test_xl,sv
jag har uppspänd buk,gut_microbiome_test_xl,sv
jag har uppstötningar,gut_microbiome_test_xl,sv
jag har vattnig avföring,gut_microbiome_test_xl,sv
jag har viktnedgång,gut_microbiome_test_xl,sv
jag har viktproblem,gut_microbiome_test_xl,sv
jag har öm mage,gut_microbiome_test_xl,sv
kolik,gut_microbiome_test_xl,sv
kolit,gut_microbiome_test_xl,sv
kramp i magen,gut_microbiome_test_xl,sv
kroniska magsmärtor,gut_microbiome_test_xl,sv
kroniska tarmproblem,gut_microbiome_test_xl,sv
kräkningar,gut_microbiome_test_xl,sv
kurrande mage,gut_microbiome_test_xl,sv
känslig tarm,gut_microbiome_test_xl,sv
leaky gut,gut_microbiome_test_xl,sv
läckande tarm,gut_microbiome_test_xl,sv
låg magsyra,gut_microbiome_test_xl,sv
lös mage,gut_microbiome_test_xl,sv
mage ballongkänsla,gut_microbiome_test_xl,sv
maginfluensa ofta,gut_microbiome_test_xl,sv
magkatarr,gut_microbiome_test_xl,sv
magknip,gut_microbiome_test_xl,sv
magkramper,gut_microbiome_test_xl,sv
magont,gut_microbiome_test_xl,sv
magsmärtor,gut_microbiome_test_xl,sv
magsyra,gut_microbiome_test_xl,sv
magsår,gut_microbiome_test_xl,sv
magsårsmärta,gut_microbiome_test_xl,sv
obalans i tarmfloran,gut_microbiome_test_xl,sv
oförklarlig viktuppgång,gut_microbiome_test_xl,sv
ont i magen,gut_microbiome_test_xl,sv
ont i magen barn,gut_microbiome_test_xl,sv
orolig mage,gut_microbiome_test_xl,sv
otydlig magvärk,gut_microbiome_test_xl,sv
parasit i mage,gut_microbiome_test_xl,sv
rapar mycket,gut_microbiome_test_xl,sv
rapningar,gut_microbiome_test_xl,sv
reflux,gut_microbiome_test_xl,sv
slemmig avföring,gut_microbiome_test_xl,sv
slemmigt bajs,gut_microbiome_test_xl,sv
smärta när jag äter,gut_microbiome_test_xl,sv
smärta under naveln,gut_microbiome_test_xl,sv
smärta över naveln,gut_microbiome_test_xl,sv
sprängande buk,gut_microbiome_test_xl,sv
stomi problem,gut_microbiome_test_xl,sv
stressmage,gut_microbiome_test_xl,sv
sur mage,gut_microbiome_test_xl,sv
sura uppstötningar,gut_microbiome_test_xl,sv
svamp i tarmen,gut_microbiome_test_xl,sv
svullen mage,gut_microbiome_test_xl,sv
svår matsmältning,gut_microbiome_test_xl,sv
svårt att gå på toaletten,gut_microbiome_test_xl,sv
tarmbesvär,gut_microbiome_test_xl,sv
tarminfektion ofta,gut_microbiome_test_xl,sv
tarmkramper,gut_microbiome_test_xl,sv
tarmsmärta,gut_microbiome_test_xl,sv
trött efter måltid,gut_microbiome_test_xl,sv
ulcerös kolit symtom,gut_microbiome_test_xl,sv
uppblåst mage,gut_microbiome_test_xl,sv
uppspänd buk,gut_microbiome_test_xl,sv
uppstötningar,gut_microbiome_test_xl,sv
varför har jag Crohns sjukdom symtom,gut_microbiome_test_xl,sv
varför har jag IBD,gut_microbiome_test_xl,sv
varför har jag IBS,gut_microbiome_test_xl,sv
varför har jag SIBO,gut_microbiome_test_xl,sv
varför har jag bajsar ofta,gut_microbiome_test_xl,sv
varför har jag bajsar sällan,gut_microbiome_test_xl,sv
varför har jag bakteriell överväxt,gut_microbiome_test_xl,sv
varför har jag bloating,gut_microbiome_test_xl,sv
varför har jag blod i avföringen,gut_microbiome_test_xl,sv
varför har jag brain fog,gut_microbiome_test_xl,sv
varför har jag brännande mage,gut_microbiome_test_xl,sv
varför har jag buksmärta,gut_microbiome_test_xl,sv
varför har jag buksmärta höger sida,gut_microbiome_test_xl,sv
varför har jag buksmärta vänster sida,gut_microbiome_test_xl,sv
varför har jag bukspänning,gut_microbiome_test_xl,sv
varför har jag candida,gut_microbiome_test_xl,sv
varför har jag diarré,gut_microbiome_test_xl,sv
varför har jag digestive issues,gut_microbiome_test_xl,sv
varför har jag dysbios,gut_microbiome_test_xl,sv
varför har jag dålig matsmältning,gut_microbiome_test_xl,sv
varför har jag dålig tarmflora,gut_microbiome_test_xl,sv
varför har jag eksem kopplat till kost,gut_microbiome_test_xl,sv
varför har jag fekal urgens,gut_microbiome_test_xl,sv
varför har jag fermentering i tarmen,gut_microbiome_test_xl,sv
varför har jag flatulens,gut_microbiome_test_xl,sv
varför har jag förstoppning,gut_microbiome_test_xl,sv
varför har jag förändrad avföring,gut_microbiome_test_xl,sv
varför har jag gallbesvär,gut_microbiome_test_xl,sv
varför har jag gallstenssmärta,gut_microbiome_test_xl,sv
varför har jag gasbesvär,gut_microbiome_test_xl,sv
varför har jag gaser i magen,gut_microbiome_test_xl,sv
varför har jag gaser som luktar illa,gut_microbiome_test_xl,sv
varför har jag gasig,gut_microbiome_test_xl,sv
varför har jag gasproblem,gut_microbiome_test_xl,sv
varför har jag gastrit,gut_microbiome_test_xl,sv
varför har jag gastrit smärta,gut_microbiome_test_xl,sv
varför har jag halsbränna,gut_microbiome_test_xl,sv
varför har jag hemska gaser,gut_microbiome_test_xl,sv
varför har jag hjärndimma,gut_microbiome_test_xl,sv
varför har jag hudutslag kopplat till mage,gut_microbiome_test_xl,sv
varför har jag hypoklorhydri,gut_microbiome_test_xl,sv
varför har jag hård mage,gut_microbiome_test_xl,sv
varför har jag illamående,gut_microbiome_test_xl,sv
varför har jag inflammation i tarmen,gut_microbiome_test_xl,sv
varför har jag intestinal gas,gut_microbiome_test_xl,sv
varför har jag irriterad tarm,gut_microbiome_test_xl,sv
varför har jag kolik,gut_microbiome_test_xl,sv
varför har jag kolit,gut_microbiome_test_xl,sv
varför har jag kramp i magen,gut_microbiome_test_xl,sv
varför har jag kroniska magsmärtor,gut_microbiome_test_xl,sv
varför har jag kroniska tarmproblem,gut_microbiome_test_xl,sv
varför har jag kräkningar,gut_microbiome_test_xl,sv
varför har jag kurrande mage,gut_microbiome_test_xl,sv
varför har jag känslig tarm,gut_microbiome_test_xl,sv
varför har jag leaky gut,gut_microbiome_test_xl,sv
varför har jag läckande tarm,gut_microbiome_test_xl,sv
varför har jag låg magsyra,gut_microbiome_test_xl,sv
varför har jag lös mage,gut_microbiome_test_xl,sv
varför har jag mage ballongkänsla,gut_microbiome_test_xl,sv
varför har jag maginfluensa ofta,gut_microbiome_test_xl,sv
varför har jag magkatarr,gut_microbiome_test_xl,sv
varför har jag magknip,gut_microbiome_test_xl,sv
varför har jag magkramper,gut_microbiome_test_xl,sv
varför har jag magont,gut_microbiome_test_xl,sv
varför har jag magsmärtor,gut_microbiome_test_xl,sv
varför har jag magsyra,gut_microbiome_test_xl,sv
varför har jag magsår,gut_microbiome_test_xl,sv
varför har jag magsårsmärta,gut_microbiome_test_xl,sv
varför har jag obalans i tarmfloran,gut_microbiome_test_xl,sv
varför har jag oförklarlig viktuppgång,gut_microbiome_test_xl,sv
varför har jag ont i magen,gut_microbiome_test_xl,sv
varför har jag ont i magen barn,gut_microbiome_test_xl,sv
varför har jag orolig mage,gut_microbiome_test_xl,sv
varför har jag otydlig magvärk,gut_microbiome_test_xl,sv
varför har jag parasit i mage,gut_microbiome_test_xl,sv
varför har jag rapar mycket,gut_microbiome_test_xl,sv
varför har jag rapningar,gut_microbiome_test_xl,sv
varför har jag reflux,gut_microbiome_test_xl,sv
varför har jag slemmig avföring,gut_microbiome_test_xl,sv
varför har jag slemmigt bajs,gut_microbiome_test_xl,sv
varför har jag smärta när jag äter,gut_microbiome_test_xl,sv
varför har jag smärta under naveln,gut_microbiome_test_xl,sv
varför har jag smärta över naveln,gut_microbiome_test_xl,sv
varför har jag sprängande buk,gut_microbiome_test_xl,sv
varför har jag stomi problem,gut_microbiome_test_xl,sv
varför har jag stressmage,gut_microbiome_test_xl,sv
varför har jag sur mage,gut_microbiome_test_xl,sv
varför har jag sura uppstötningar,gut_microbiome_test_xl,sv
varför har jag svamp i tarmen,gut_microbiome_test_xl,sv
varför har jag svullen mage,gut_microbiome_test_xl,sv
varför har jag svår matsmältning,gut_microbiome_test_xl,sv
varför har jag svårt att gå på toaletten,gut_microbiome_test_xl,sv
varför har jag tarmbesvär,gut_microbiome_test_xl,sv
varför har jag tarminfektion ofta,gut_microbiome_test_xl,sv
varför har jag tarmkramper,gut_microbiome_test_xl,sv
varför har jag tarmsmärta,gut_microbiome_test_xl,sv
varför har jag trött efter måltid,gut_microbiome_test_xl,sv
varför har jag ulcerös kolit symtom,gut_microbiome_test_xl,sv
varför har jag uppblåst mage,gut_microbiome_test_xl,sv
varför har jag uppspänd buk,gut_microbiome_test_xl,sv
varför har jag uppstötningar,gut_microbiome_test_xl,sv
varför har jag vattnig avföring,gut_microbiome_test_xl,sv
varför har jag viktnedgång,gut_microbiome_test_xl,sv
varför har jag viktproblem,gut_microbiome_test_xl,sv
varför har jag öm mage,gut_microbiome_test_xl,sv
vattnig avföring,gut_microbiome_test_xl,sv
viktnedgång,gut_microbiome_test_xl,sv
viktproblem,gut_microbiome_test_xl,sv
öm mage,gut_microbiome_test_xl,sv
Crohn's disease symptoms,gut_microbiome_test_xl,en
I have Crohn's disease symptoms,gut_microbiome_test_xl,en
I have IBD,gut_microbiome_test_xl,en
I have IBS,gut_microbiome_test_xl,en
I have SIBO,gut_microbiome_test_xl,en
I have abdominal cramps,gut_microbiome_test_xl,en
I have abdominal pain,gut_microbiome_test_xl,en
I have abdominal tension,gut_microbiome_test_xl,en
I have acid burps,gut_microbiome_test_xl,en
I have acid reflux,gut_microbiome_test_xl,en
I have bacterial overgrowth,gut_microbiome_test_xl,en
I have balloon stomach feeling,gut_microbiome_test_xl,en
I have belching,gut_microbiome_test_xl,en
I have bloated stomach,gut_microbiome_test_xl,en
I have bloating,gut_microbiome_test_xl,en
I have blood in stool,gut_microbiome_test_xl,en
I have bowel issues,gut_microbiome_test_xl,en
I have brain fog,gut_microbiome_test_xl,en
I have burning stomach,gut_microbiome_test_xl,en
I have burping a lot,gut_microbiome_test_xl,en
I have candida,gut_microbiome_test_xl,en
I have changed stool,gut_microbiome_test_xl,en
I have child stomach pain,gut_microbiome_test_xl,en
I have chronic bowel problems,gut_microbiome_test_xl,en
I have chronic stomach pain,gut_microbiome_test_xl,en
I have colic,gut_microbiome_test_xl,en
I have colitis,gut_microbiome_test_xl,en
I have constipation,gut_microbiome_test_xl,en
I have diarrhea,gut_microbiome_test_xl,en
I have difficulty digesting,gut_microbiome_test_xl,en
I have difficulty pooping,gut_microbiome_test_xl,en
I have digestive issues,gut_microbiome_test_xl,en
I have distended abdomen,gut_microbiome_test_xl,en
I have dysbiosis,gut_microbiome_test_xl,en
I have eczema related to diet,gut_microbiome_test_xl,en
I have exploding belly pressure,gut_microbiome_test_xl,en
I have fecal urgency,gut_microbiome_test_xl,en
I have flatulence,gut_microbiome_test_xl,en
I have foul-smelling gas,gut_microbiome_test_xl,en
I have frequent bowel movements,gut_microbiome_test_xl,en
I have frequent intestinal infections,gut_microbiome_test_xl,en
I have gallbladder discomfort,gut_microbiome_test_xl,en
I have gallstone pain,gut_microbiome_test_xl,en
I have gas discomfort,gut_microbiome_test_xl,en
I have gas in stomach,gut_microbiome_test_xl,en
I have gas problems,gut_microbiome_test_xl,en
I have gassy,gut_microbiome_test_xl,en
I have gastritis,gut_microbiome_test_xl,en
I have gastritis pain,gut_microbiome_test_xl,en
I have gurgling stomach,gut_microbiome_test_xl,en
I have gut flora imbalance,gut_microbiome_test_xl,en
I have gut parasite,gut_microbiome_test_xl,en
I have hard stools,gut_microbiome_test_xl,en
I have heartburn,gut_microbiome_test_xl,en
I have hypochlorhydria,gut_microbiome_test_xl,en
I have infrequent bowel movements,gut_microbiome_test_xl,en
I have intestinal cramps,gut_microbiome_test_xl,en
I have intestinal fermentation,gut_microbiome_test_xl,en
I have intestinal gas,gut_microbiome_test_xl,en
I have intestinal inflammation,gut_microbiome_test_xl,en
I have intestinal pain,gut_microbiome_test_xl,en
I have intestinal yeast overgrowth,gut_microbiome_test_xl,en
I have irritable bowel,gut_microbiome_test_xl,en
I have leaky gut,gut_microbiome_test_xl,en
I have left side abdominal pain,gut_microbiome_test_xl,en
I have loose stools,gut_microbiome_test_xl,en
I have low stomach acid,gut_microbiome_test_xl,en
I have mucous stool,gut_microbiome_test_xl,en
I have nausea,gut_microbiome_test_xl,en
I have pain above navel,gut_microbiome_test_xl,en
I have pain below navel,gut_microbiome_test_xl,en
I have pain when eating,gut_microbiome_test_xl,en
I have peptic ulcer,gut_microbiome_test_xl,en
I have poor digestion,gut_microbiome_test_xl,en
I have poor gut flora,gut_microbiome_test_xl,en
I have recurrent stomach flu,gut_microbiome_test_xl,en
I have reflux,gut_microbiome_test_xl,en
I have right side abdominal pain,gut_microbiome_test_xl,en
I have sensitive gut,gut_microbiome_test_xl,en
I have skin rash linked to gut,gut_microbiome_test_xl,en
I have sour stomach,gut_microbiome_test_xl,en
I have stoma issues,gut_microbiome_test_xl,en
I have stomach ache,gut_microbiome_test_xl,en
I have stomach acid,gut_microbiome_test_xl,en
I have stomach cramping,gut_microbiome_test_xl,en
I have stomach cramps,gut_microbiome_test_xl,en
I have stomach pain,gut_microbiome_test_xl,en
I have stomach pains,gut_microbiome_test_xl,en
I have stress stomach,gut_microbiome_test_xl,en
I have swollen abdomen,gut_microbiome_test_xl,en
I have tender stomach,gut_microbiome_test_xl,en
I have terrible gas,gut_microbiome_test_xl,en
I have tired after meals,gut_microbiome_test_xl,en
I have ulcer pain,gut_microbiome_test_xl,en
I have ulcerative colitis symptoms,gut_microbiome_test_xl,en
I have unexplained weight gain,gut_microbiome_test_xl,en
I have upset stomach,gut_microbiome_test_xl,en
I have vague stomach pain,gut_microbiome_test_xl,en
I have vomiting,gut_microbiome_test_xl,en
I have watery stool,gut_microbiome_test_xl,en
I have weight issues,gut_microbiome_test_xl,en
I have weight loss,gut_microbiome_test_xl,en
IBD,gut_microbiome_test_xl,en
IBS,gut_microbiome_test_xl,en
SIBO,gut_microbiome_test_xl,en
abdominal cramps,gut_microbiome_test_xl,en
abdominal pain,gut_microbiome_test_xl,en
abdominal tension,gut_microbiome_test_xl,en
acid burps,gut_microbiome_test_xl,en
acid reflux,gut_microbiome_test_xl,en
bacterial overgrowth,gut_microbiome_test_xl,en
balloon stomach feeling,gut_microbiome_test_xl,en
belching,gut_microbiome_test_xl,en
bloated stomach,gut_microbiome_test_xl,en
bloating,gut_microbiome_test_xl,en
blood in stool,gut_microbiome_test_xl,en
bowel issues,gut_microbiome_test_xl,en
brain fog,gut_microbiome_test_xl,en
burning stomach,gut_microbiome_test_xl,en
burping a lot,gut_microbiome_test_xl,en
candida,gut_microbiome_test_xl,en
changed stool,gut_microbiome_test_xl,en
child stomach pain,gut_microbiome_test_xl,en
chronic bowel problems,gut_microbiome_test_xl,en
chronic stomach pain,gut_microbiome_test_xl,en
colic,gut_microbiome_test_xl,en
colitis,gut_microbiome_test_xl,en
constipation,gut_microbiome_test_xl,en
diarrhea,gut_microbiome_test_xl,en
difficulty digesting,gut_microbiome_test_xl,en
difficulty pooping,gut_microbiome_test_xl,en
digestive issues,gut_microbiome_test_xl,en
distended abdomen,gut_microbiome_test_xl,en
dysbiosis,gut_microbiome_test_xl,en
eczema related to diet,gut_microbiome_test_xl,en
exploding belly pressure,gut_microbiome_test_xl,en
fecal urgency,gut_microbiome_test_xl,en
flatulence,gut_microbiome_test_xl,en
foul-smelling gas,gut_microbiome_test_xl,en
frequent bowel movements,gut_microbiome_test_xl,en
